Variable:,pr
Country:,Colombia
Subnational-unit:,Antioquia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,81.00,89.57,114.88,181.48,266.94,183.11,297.34,439.94,242.24,388.58,346.61,148.63
1902,168.00,81.60,190.87,215.21,239.77,196.13,170.58,226.37,259.06,277.19,253.75,122.11
1903,92.03,83.32,94.96,226.97,270.70,341.18,171.67,431.12,240.53,257.42,290.81,190.19
1904,107.50,102.44,192.61,287.60,319.11,193.68,238.04,240.64,230.01,349.01,188.92,121.67
1905,122.97,66.72,107.54,235.58,294.12,239.44,207.57,200.68,346.62,321.18,334.32,224.78
1906,82.02,103.78,115.10,290.67,308.19,296.80,271.49,250.26,184.52,330.06,246.39,141.76
1907,91.10,132.27,227.66,302.77,285.99,261.45,331.07,260.11,304.18,299.09,238.97,157.67
1908,134.37,92.55,162.04,216.78,218.90,212.23,249.20,305.52,314.50,463.03,253.14,202.70
1909,100.84,133.93,77.85,236.91,344.58,278.09,382.21,313.56,253.34,304.74,236.86,145.31
1910,186.44,91.29,236.45,208.56,469.42,302.71,234.40,242.71,314.50,404.11,228.71,205.14
1911,107.77,143.15,140.38,291.17,305.39,242.81,239.46,209.77,174.62,239.54,236.38,130.03
1912,112.23,95.61,111.68,229.10,240.78,201.53,269.34,457.04,274.92,293.53,328.64,175.93
1913,82.40,79.34,131.00,345.05,298.02,236.34,190.75,209.56,507.88,321.01,280.18,171.40
1914,91.20,76.87,88.75,285.12,203.05,193.54,179.37,265.55,189.72,330.20,348.62,187.65
1915,102.49,114.20,92.99,254.47,341.89,270.91,278.59,458.09,252.93,342.49,251.70,150.89
1916,106.38,78.41,166.05,268.24,218.34,346.28,263.08,289.34,257.40,335.65,230.71,157.39
1917,157.91,97.31,161.36,307.44,410.01,273.27,251.43,410.29,249.57,268.40,295.67,171.53
1918,120.11,96.57,139.88,339.11,299.25,197.66,202.09,209.96,229.11,360.58,321.66,113.81
1919,116.20,76.81,104.73,242.05,267.78,247.73,306.85,309.40,355.95,258.62,265.32,195.64
1920,90.26,101.80,114.95,190.00,419.42,225.79,386.81,271.76,300.54,426.18,192.72,169.82
1921,149.17,125.57,251.06,256.64,419.25,305.83,331.28,236.56,366.67,383.84,212.21,207.19
1922,66.88,125.35,197.78,212.96,310.22,416.44,233.84,184.53,227.96,289.26,262.06,179.47
