Variable:,tas
Country:,Colombia
Subnational-unit:,Antioquia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,22.76,22.98,23.24,23.24,23.05,22.87,23.07,22.90,22.59,22.39,22.51,22.44
1902,22.62,22.88,23.05,23.11,22.97,22.86,22.98,22.90,22.56,22.40,22.63,22.50
1903,22.62,22.98,23.09,23.09,22.97,22.88,23.07,22.90,22.68,22.39,22.52,22.41
1904,22.57,22.98,23.02,23.18,22.89,22.97,23.07,22.90,22.68,22.36,22.57,22.43
1905,22.56,22.81,23.00,23.11,22.88,22.84,23.07,22.90,22.68,22.42,22.57,22.39
1906,22.57,22.81,23.05,23.08,22.93,22.87,23.07,22.90,22.56,22.50,22.57,22.34
1907,22.71,22.98,23.20,23.18,22.86,22.82,23.07,22.90,22.68,22.39,22.52,22.44
1908,22.62,22.83,23.01,23.01,22.91,22.85,23.07,22.90,22.68,22.36,22.52,22.42
1909,22.60,22.98,23.15,23.18,22.92,22.82,23.07,22.90,22.58,22.38,22.55,22.37
1910,22.51,22.98,22.96,23.04,23.03,22.90,23.03,22.86,22.68,22.50,22.57,22.43
1911,22.71,22.84,23.20,23.05,22.86,22.97,23.07,22.90,22.68,22.42,22.55,22.43
1912,22.59,22.87,23.01,23.00,22.99,22.97,23.07,22.90,22.68,22.36,22.50,22.41
1913,22.56,22.98,23.20,23.18,23.03,22.97,23.07,22.90,22.68,22.50,22.51,22.37
1914,22.56,22.84,23.06,23.06,22.86,22.97,23.07,22.90,22.68,22.36,22.56,22.55
1915,22.65,22.92,23.16,23.09,23.87,23.63,23.85,24.14,23.15,23.53,23.12,23.06
1916,22.80,22.98,22.99,23.73,23.60,23.31,23.56,22.80,23.17,22.50,22.55,22.21
1917,22.14,21.92,22.96,23.18,23.03,22.49,23.17,22.73,22.68,22.42,22.55,22.55
1918,22.54,22.57,22.10,22.70,21.97,22.15,23.07,23.32,22.78,22.92,22.43,22.43
1919,22.51,22.85,23.20,23.05,22.95,22.97,23.07,22.90,22.68,22.36,22.50,22.44
1920,22.51,22.84,23.20,23.06,22.89,22.97,23.07,22.90,22.68,22.50,22.50,22.34
1921,22.63,22.74,22.21,22.53,22.30,22.49,23.07,22.42,22.58,21.68,22.33,22.16
1922,22.44,22.38,22.28,22.90,22.55,22.06,22.50,22.66,22.44,22.02,21.92,21.86
1923,21.94,22.49,22.85,22.93,22.54,22.97,22.39,22.60,22.88,22.10,22.75,22.35
1924,23.23,23.08,23.96,23.54,23.18,22.33,22.50,23.10,21.95,22.00,22.16,22.07
1925,21.91,21.96,22.04,22.85,22.97,22.62,22.68,22.51,22.48,22.68,22.45,22.71
1926,23.08,23.49,23.73,24.15,23.70,23.39,23.07,22.80,22.39,22.50,22.69,22.14
1927,22.31,22.42,22.95,22.62,22.57,22.57,22.11,23.00,22.42,22.26,22.92,22.51
1928,22.53,23.11,22.86,23.40,22.93,22.72,22.96,22.70,22.58,22.45,22.49,22.21
1929,22.76,23.18,22.99,23.04,22.66,22.65,22.57,22.79,22.78,22.60,22.76,22.62
1930,22.46,22.88,23.49,23.38,22.74,22.77,22.97,22.60,22.68,22.30,23.07,22.90
1931,23.21,23.44,23.94,23.95,23.35,23.17,22.71,22.90,22.59,22.72,22.75,22.52
1932,22.76,23.08,22.96,24.18,22.72,22.82,22.72,22.90,22.60,22.07,22.78,22.45
1933,23.07,22.83,23.33,23.28,23.43,23.06,23.67,23.02,23.16,22.33,22.53,22.40
1934,22.51,22.31,22.51,23.75,23.37,23.55,23.09,23.40,23.76,22.70,22.85,22.95
1935,22.78,22.74,23.36,23.35,22.85,23.27,23.34,22.90,22.88,22.81,22.71,22.89
1936,23.00,23.24,23.77,23.79,23.53,23.06,23.29,23.50,23.29,22.84,23.51,22.64
1937,22.66,22.97,23.87,23.84,23.10,22.94,23.08,23.00,22.68,22.79,23.04,23.14
1938,23.00,23.15,22.69,22.71,22.82,23.07,23.17,22.70,22.98,22.80,22.53,22.47
1939,22.63,22.31,22.62,22.99,23.33,23.03,23.17,23.49,23.32,22.83,22.95,23.38
1940,22.28,23.36,23.15,24.01,24.16,23.54,23.85,23.72,23.32,22.98,22.98,22.29
1941,23.03,23.29,24.00,23.81,24.33,23.60,23.56,23.76,23.73,23.85,24.06,24.17
1942,22.89,22.77,23.47,23.16,23.04,23.15,23.05,23.26,23.20,22.62,22.40,22.81
1943,22.86,22.66,22.36,22.97,22.67,22.63,22.92,22.98,23.61,22.86,23.12,22.49
1944,22.49,22.31,22.85,23.12,22.75,22.56,23.43,23.18,22.77,22.95,22.49,22.46
1945,22.47,22.56,23.19,22.31,22.00,22.98,23.04,23.10,23.17,22.62,22.83,22.95
1946,22.71,22.44,22.86,22.64,22.87,23.14,23.14,23.06,23.25,22.88,22.77,22.60
1947,23.11,23.53,23.80,23.54,23.26,23.21,22.96,23.11,23.16,22.72,23.32,23.24
1948,23.11,23.22,23.58,23.02,23.31,22.95,22.80,23.05,23.46,22.82,23.31,23.19
